,REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
14621,NOROCCIDENTE,ANTIOQUIA,REDCO,FVD,FVD,INDIRECTA,2,9.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,43011236
14620,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,25.0,TV,Individual,1.0,Problemas Control Remoto,0,0,0,0,0,0,0,0,0,43010723
14619,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,151.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,43009857
14618,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,2,151.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,43009857
14617,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,2,13.0,TV,Individual,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,0,1,43009741
14615,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,5,183.0,TV+BA,Duo,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,43008713
14614,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,53.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43008462
14611,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,0,43008196
14610,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,3,104.0,BA,Individual,1.0,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,43008039
14609,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,50.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,43007836
14606,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,202.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,43006501
14605,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,202.0,TV,Individual,,,1,0,0,0,0,0,0,0,0,43006356
14604,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,125.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43005975
14603,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,5,136.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,43005552
14602,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,1,23.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43004872
14601,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,3,42.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43004834
15160,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,122.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,43004143
15159,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,123.0,BA,Individual,1.0,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,43004132
15158,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,4,7.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,1,0,43003851
15157,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,IN BOUND,INDIRECTA,4,203.0,TO,Individual,,,0,0,0,0,0,0,0,0,0,43003461
15155,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,4,171.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,43002949
15154,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,196.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43002715
